ID,asistencia,pa,tareas,tarea challenge,examen final,examen final std,NOTA FINAL (%),condicion
ID_21,41.66666667,100,100,0,0,0,51.25,drop out
ID_43,83.33333333,83.33333333,100,25,20,25,64.16666667,aprobado
ID_23,91.66666667,100,50,0,6,7.5,49.25,failed
ID_38,58.33333333,93.33333333,0,0,0,0,27.41666667,drop out
QHUB_1,83.33333333,96.875,100,84.16666667,29,36.25,71.375,aprobado
ID_17,100,90,57.5,0,30,37.5,62.375,aprobado
ID_58,100,87.27272727,50,0,0,0,44.95454545,drop out
ID_19,100,96.66666667,100,46.66666667,43,53.75,80.83333333,aprobado
ID_29,41.66666667,87.5,0,0,0,0,23.75,drop out
ID_25,41.66666667,100,100,0,37,46.25,69.75,aprobado
ID_07,25,100,100,41.66666667,0,0,48.75,drop out
ID_44,91.66666667,87.27272727,100,40.83333333,51,63.75,81.70454545,aprobado
ID_04,75,96,100,0,64,80,87.45,aprobado
ID_59,75,100,100,0,81,101.25,96.75,aprobado
ID_46,75,96.66666667,100,94.16666667,58,72.5,84.58333333,aprobado
ID_08,58.33333333,85,0,0,0,0,25.75,drop out
ID_54,100,96.66666667,100,69.16666667,58,72.5,88.33333333,aprobado
ID_52,91.66666667,84.44444444,90,26.66666667,47,58.75,76.63888889,aprobado
ID_09,16.66666667,100,0,0,0,0,22.5,drop out
ID_01,100,96,100,46.66666667,33,41.25,75.7,aprobado
ID_02,41.66666667,71,42.5,0,0,0,31.075,drop out
ID_03,58.33333333,86.25,50,30.83333333,0,0,38.5,drop out
ID_41,50,100,50,0,0,0,40,drop out
ID_65,8.333333333,0,0,0,0,0,1.25,drop out
ID_62,100,92.72727273,100,0,34,42.5,75.54545455,aprobado
ID_56,91.66666667,96.66666667,100,0,20,25,68.08333333,aprobado
ID_12,16.66666667,100,0,0,0,0,22.5,drop out
ID_13,25,100,50,0,0,0,36.25,drop out
ID_14,91.66666667,100,50,0,0,0,46.25,drop out
ID_28,91.66666667,92.91666667,100,0,31,38.75,72.83333333,aprobado
ID_53,8.333333333,100,0,0,0,0,21.25,drop out
ID_16,83.33333333,94.58333333,100,36.66666667,38,47.5,75.41666667,aprobado
ID_33,8.333333333,100,0,0,0,0,21.25,drop out
ID_18,66.66666667,95,50,0,0,0,41.5,drop out
ID_36,8.333333333,0,0,0,0,0,1.25,drop out
ID_37,75,93.33333333,65,0,18,22.5,55.16666667,aprobado
ID_30,50,100,92.5,0,48,60,74.625,aprobado
ID_50,75,95.55555556,100,45,51,63.75,80.86111111,aprobado
ID_47,25,100,0,0,0,0,23.75,drop out
ID_63,75,100,100,87.5,43,53.75,77.75,aprobado
ID_49,66.66666667,95.55555556,90,23.33333333,18,22.5,60.61111111,aprobado
QHUB_2,50,86.66666667,0,45.83333333,24,30,36.83333333,failed
ID_48,75,70.55555556,100,0,0,0,50.36111111,drop out
ID_45,83.33333333,94.44444444,100,38.33333333,64,80,88.38888889,aprobado
ID_66,91.66666667,94.09090909,100,20.83333333,30,37.5,72.56818182,aprobado
QHUB_3,91.66666667,85,50,33.33333333,87,108.75,86.75,aprobado
ID_64,25,93.33333333,0,0,0,0,22.41666667,drop out
ID_06,8.333333333,0,0,0,0,0,1.25,drop out
ID_51,8.333333333,0,0,0,0,0,1.25,drop out
ID_24,8.333333333,0,0,0,0,0,1.25,drop out
ID_42,8.333333333,0,0,0,0,0,1.25,drop out
ID_11,25,62.5,0,0,0,0,16.25,drop out
ID_60,50,92.5,40,0,0,0,36,drop out
ID_57,91.66666667,94.09090909,100,85,38,47.5,76.56818182,aprobado
ID_15,83.33333333,96,50,0,0,0,44.2,drop out
ID_32,83.33333333,96.36363636,92.5,76.66666667,0,0,54.89772727,drop out
ID_55,100,90.83333333,90,85.83333333,53,66.25,82.16666667,aprobado
ID_05,41.66666667,75,0,0,0,0,21.25,drop out
ID_67,100,96.66666667,100,0,44,55,81.33333333,aprobado
ID_26,75,93.33333333,0,0,0,0,29.91666667,drop out
ID_27,25,0,0,0,0,0,3.75,drop out
ID_38,91.66666667,96.66666667,100,82.5,70,87.5,93.08333333,aprobado
ID_35,83.33333333,,0,0,0,0,12.5,drop out
