term,frequency
cuantica,299
computacion,265
curso,129
fisica,109
aprender,95
programa,93
sino,93
interes,90
solo,81
desarrollo,72
tecnologia,72
carrera,68
oportunidad,67
sistemas,67
entender,65
forma,64
tiempo,62
estoy,62
ingenieria,60
formacion,59
problemas,59
comprender,58
mundo,58
conocimientos,56
futuro,56
parte,55
informacion,53
peru,52
datos,50
campo,50
area,49
considero,48
investigacion,48
ciencia,47
tengo,46
soy,45
quiero,45
representa,45
universidad,43
poder,43
manera,43
algoritmos,42
complejos,42
gran,42
conocimiento,42
base,41
proyectos,41
programacion,40
hacia,39
actualmente,38
compromiso,38
participar,38
curiosidad,38
mucho,38
estudiar,37
ciencias,37
cuanticos,37
ello,36
ademas,36
estudiante,34
siempre,34
asi,34
herramientas,33
profesional,33
academico,33
soluciones,33
cada,32
estudio,31
comunidad,31
academica,30
nivel,30
fundamentos,30
puede,30
objetivo,29
areas,29
anos,29
mayor,28
posibilidad,28
ano,28
resolver,28
impacto,28
experiencia,27
interesa,27
motivacion,27
tecnologias,27
deseo,27
conceptos,26
capacidad,26
vez,26
muchas,26
introduccion,26
matematicas,26
optimizacion,26
primer,26
personal,26
vida,26
cuantico,25
clasica,25
vision,25
aunque,25
adquirir,24
principios,24
quantum,24
encuentro,24
desarrollar,24
analisis,24
estas,24
habilidades,24
disciplina,24
pais,24
paso,24
tecnologico,24
embargo,24
nuevo,24
otros,24
poco,23
son,23
aprendizaje,23
seguir,23
tecnologica,23
procesamiento,23
podria,23
contribuir,22
largo,22
explorar,22
cosas,22
camino,22
carta,21
nuevas,21
gracias,21
superposicion,21
entusiasma,21
ver,20
cuanticas,20
motiva,20
formar,20
mismo,20
academicos,20
hoy,20
actual,20
tener,19
plazo,19
agradezco,19
dentro,19
quantumhub,19
pasion,19
esfuerzo,19
realidad,19
permitira,19
cambio,19
