Nombre,Asistencia día 1,Asistencia día 2,Asistencia día 3,email,Edad,Ocupación actual,"¿Qué carrera estudió, estudia o planea estudiar?",¿A qué días se compromete asistir?,,
qubit 1,VERDADERO,VERDADERO,FALSO,gmail.com,18-24,Universitario(a),Física,19 de diciembre,,21 de diciembre
qubit 2,VERDADERO,VERDADERO,VERDADERO,utec.edu.pe,18-24,Universitario(a),Ciencias de la Computación,19 de diciembre,20 de diciembre, 21 de diciembre
qubit 3,VERDADERO,FALSO,VERDADERO,gmail.com,17 o menos,Escolar,Derecho,,20 de diciembre, 21 de diciembre
qubit 4,VERDADERO,FALSO,VERDADERO,usmp.pe,18-24,Universitario(a),Ingeniería de Sistemas,19 de diciembre,20 de diciembre, 21 de diciembre
qubit 5,VERDADERO,VERDADERO,FALSO,yahoo.es,45+,Profesional,Turismo,19 de diciembre,20 de diciembre, 21 de diciembre
qubit 6,VERDADERO,FALSO,FALSO,gmail.com,25-34,Profesional,Ingeniería Ambiental,19 de diciembre,20 de diciembre, 21 de diciembre
qubit 7,VERDADERO,VERDADERO,VERDADERO,uni.pe,18-24,Universitario(a),Ingeniería Electrónica,,20 de diciembre, 21 de diciembre
qubit 8,VERDADERO,FALSO,FALSO,gmail.com,25-34,Universitario(a),Ingeniería de Software ,19 de diciembre,20 de diciembre,
qubit 9,VERDADERO,VERDADERO,VERDADERO,dygsom.pe,35-44,Profesional,Ingeniería de Sistemas,19 de diciembre,20 de diciembre, 21 de diciembre
qubit 10,VERDADERO,FALSO,VERDADERO,gmail.com,18-24,Universitario(a),Ciencias de la Computación ,,20 de diciembre,
qubit 11,VERDADERO,FALSO,FALSO,gmail.com,17 o menos,Escolar,Ciencias de la Computación ,19 de diciembre,20 de diciembre, 21 de diciembre
qubit 12,FALSO,VERDADERO,VERDADERO,unmsm.edu.pe,18-24,Universitario(a),Física ,,20 de diciembre, 21 de diciembre
qubit 13,VERDADERO,VERDADERO,FALSO,hotmail.com,25-34,Universitario(a),Ciencias de la Computación,19 de diciembre, 20 de diciembre, 21 de diciembre
qubit 14,VERDADERO,FALSO,VERDADERO,gmail.com,18-24,Universitario(a),Finanzas,19 de diciembre, 20 de diciembre, 21 de diciembre
qubit 15,FALSO,FALSO,VERDADERO,gmail.com,17 o menos,Escolar,Ingeniería Aeroespacial,19 de diciembre, 20 de diciembre, 21 de diciembre
qubit 16,VERDADERO,FALSO,FALSO,utec.edu.pe,18-24,Universitario(a),Ciencias de la Computación,19 de diciembre, 20 de diciembre, 21 de diciembre
qubit 17,VERDADERO,FALSO,VERDADERO,gmail.com,18-24,Universitario(a),Ingeniería de Software,19 de diciembre,,
qubit 18,VERDADERO,VERDADERO,FALSO,gmail.com,17 o menos,Egresado(a),Medicina,,20 de diciembre,
qubit 19,VERDADERO,FALSO,VERDADERO,gmail.com,17 o menos,Escolar,Relaciones Internacionales ,19 de diciembre, 20 de diciembre, 21 de diciembre
qubit 20,VERDADERO,VERDADERO,FALSO,gmail.com,18-24,Universitario(a),Ingeniería de Software,19 de diciembre, 20 de diciembre, 21 de diciembre
qubit 21,VERDADERO,FALSO,VERDADERO,gmail.com,18-24,Universitario(a),Ingeniería Empresarial ,19 de diciembre, 20 de diciembre, 21 de diciembre
qubit 22,FALSO,VERDADERO,FALSO,gmail.com,25-34,Profesional,Ingeniería Electrónica,19 de diciembre, 20 de diciembre, 21 de diciembre
qubit 23,FALSO,VERDADERO,VERDADERO,unmsm.edu.pe,18-24,Universitario(a),Ingeniería de Telecomunicaciones ,19 de diciembre,, 21 de diciembre
qubit 24,VERDADERO,FALSO,VERDADERO,limaprovincias.coar.edu.pe,17 o menos,Escolar,Ingeniería Mecatrónica,19 de diciembre, 20 de diciembre, 21 de diciembre
qubit 25,VERDADERO,FALSO,FALSO,gmail.com,18-24,Universitario(a),Ciberseguridad ,19 de diciembre, 20 de diciembre, 21 de diciembre
qubit 26,VERDADERO,VERDADERO,VERDADERO,gmail.com,17 o menos,Escolar,Ingeniería,19 de diciembre, 20 de diciembre, 21 de diciembre
qubit 27,VERDADERO,FALSO,FALSO,guardian.pe,35-44,Investigador(a),Ingeniería Informática,19 de diciembre, 20 de diciembre, 21 de diciembre
qubit 28,VERDADERO,FALSO,VERDADERO,gmail.com,45+,Profesional,Ingeniería Electronica,,20 de diciembre,
qubit 29,VERDADERO,VERDADERO,VERDADERO,upc.edu.pe,18-24,Universitario(a),Ciencias de la Computación,,20 de diciembre,
qubit 30,VERDADERO,FALSO,VERDADERO,gmail.com,45+,Otro,Ingeniera de Sistemas,19 de diciembre, 20 de diciembre,
qubit 31,VERDADERO,VERDADERO,FALSO,gmail.com,25-34,Universitario(a),Ingeniería Biomédica,,20 de diciembre, 21 de diciembre
qubit 32,VERDADERO,VERDADERO,FALSO,gmail.com,18-24,Universitario(a),Administración ,19 de diciembre, 20 de diciembre,
qubit 33,FALSO,VERDADERO,VERDADERO,gmail.com,17 o menos,Escolar,Relaciones Internacionales ,,,21 de diciembre
qubit 34,VERDADERO,FALSO,VERDADERO,gmail.com,17 o menos,Escolar,Matética,19 de diciembre, 20 de diciembre, 21 de diciembre
qubit 35,FALSO,FALSO,VERDADERO,gmail.com,17 o menos,Escolar,Ciencias de la Computación,19 de diciembre, 20 de diciembre, 21 de diciembre
qubit 36,VERDADERO,FALSO,FALSO,gmail.com,18-24,Universitario(a),Ciencias de la Computación,19 de diciembre, 20 de diciembre, 21 de diciembre
qubit 37,VERDADERO,FALSO,FALSO,gmail.com,25-34,Universitario(a),Ingeniería Industrial,19 de diciembre, 20 de diciembre, 21 de diciembre
